price,bedrooms,sqft_living,floors,waterfront,view,condition,yr_built,grade
370000,3,1580,1,0,0,3,1976,7
269950,2,1340,1,0,0,5,1949,5
807100,4,2680,2,0,0,3,1999,9
653000,3,2680,1,0,0,4,1979,8
371500,3,1370,1,0,0,5,1964,7
284000,3,1560,1,0,0,3,1954,7
272000,3,2160,1,0,0,4,1978,7
313000,3,1340,1.5,0,0,3,1955,7
917500,4,3880,2,0,0,3,1984,10
673000,4,2590,2,0,0,4,1980,8
425000,3,1120,2,0,0,3,2008,8
399950,5,1970,1,0,0,3,1986,7
385000,3,1220,1,0,0,3,1901,6
269950,3,1950,1,0,2,4,1975,7
330000,2,1350,1,0,0,3,1949,7
260000,3,1670,2,0,0,3,1988,7
470000,4,2380,1.5,0,0,4,1925,7
589000,4,2440,2,0,0,5,1961,7
163500,2,1050,2,0,0,3,1996,7
835000,4,3130,2,0,0,3,1993,9
1095000,5,4090,1,0,2,4,1986,10
269000,4,1490,1,0,0,4,1969,8
560000,3,1900,2,0,0,3,1987,8
615000,4,1330,1.5,0,0,4,1901,6
585188,3,2230,1,0,0,3,1975,8
305000,3,1650,1,0,0,3,1977,7
166950,3,1190,1,0,0,3,1959,6
799000,3,2140,1,0,0,4,1959,8
400000,3,2180,1,0,0,4,1962,7
230000,3,1060,1,0,0,3,1948,7
256883,3,1690,2,0,0,3,2003,8
423000,4,1970,1.5,0,0,5,1920,7
465000,3,2150,2,0,0,3,2007,8
440000,3,1910,2,0,0,3,1997,7
385000,3,1350,1,0,0,4,1969,7
210000,3,860,1,0,0,4,1943,6
297000,3,1940,2,0,0,3,1994,8
470000,3,1010,1,0,0,3,1952,7
226500,3,1300,1,0,0,4,1976,7
274250,3,910,1,0,0,4,1962,6
840000,4,2480,1,0,0,4,1966,9
677900,3,2440,2,0,0,3,2010,8
425000,3,1010,1,0,0,3,1915,7
180250,2,900,1,0,0,3,1941,6
464000,6,2300,2,0,0,3,1920,7
320000,4,1550,2,0,0,3,1993,8
625504,3,1270,2,0,0,3,2014,8
592500,4,2240,1,0,0,3,1983,9
465000,3,2714,2,0,0,3,2005,9
477000,4,1720,2,0,0,3,1978,8
280000,2,850,1,0,0,3,1923,6
1505000,5,3300,1,0,3,3,1957,9
445838,3,2250,2,0,0,3,2000,8
1072000,2,3900,1,0,3,3,1947,8
467000,2,1320,1,0,0,4,1947,8
686000,4,2760,2,0,0,3,1999,10
279950,3,1750,1,0,0,3,1961,7
527000,4,2330,2,0,0,3,1987,8
325000,3,2220,1,0,0,4,1966,8
328000,3,2020,2,0,0,3,1994,7
390000,3,1250,1,0,0,5,1942,7
479950,2,1510,1,0,0,3,2005,8
264950,4,1720,1,0,0,4,1978,7
235000,3,1430,1,0,0,4,1961,7
516500,3,1480,2,0,0,3,2004,7
655000,2,1450,2,1,4,3,1915,7
500000,4,2280,1,0,0,5,1960,7
315000,6,2940,1,0,0,3,1978,8
213000,2,1000,1,0,0,3,1961,6
475000,3,2480,1.5,0,0,5,1947,7
1025000,5,3760,2,0,0,3,1983,10
416000,3,2220,1,0,0,5,1976,7
410000,4,1970,1.5,0,0,3,1904,7
800000,3,3830,2,0,0,3,1993,10
472000,6,4410,1,0,2,4,1965,9
225000,3,1430,1,0,0,4,1968,7
210000,2,830,1,0,0,3,1940,6
455000,2,1430,1.5,0,0,2,1925,7
225000,3,1300,1,0,0,4,1954,6
480000,2,1030,1,0,2,4,1918,7
363000,3,2740,2,0,0,3,1990,9
2400000,4,3650,1,1,4,3,2000,9
181000,2,720,1,0,0,3,1954,6
250000,4,2010,1,0,0,4,1976,7
481000,3,1560,1,0,0,4,1918,6
260000,3,1810,1,0,0,4,1978,7
455000,4,3360,2,0,0,3,2001,9
415000,3,1510,2,0,0,3,1991,8
349500,3,1400,1,0,0,3,1953,7
245000,3,1730,2,0,0,3,1987,7
592500,2,1420,1.5,0,2,5,1928,7
385000,4,2360,1,0,0,4,1955,7
315000,3,1580,1,0,0,4,1974,7
255000,3,1230,1,0,0,3,1979,7
693000,4,2460,2,0,0,3,2006,8
780000,3,1660,1.5,0,0,3,1911,8
237000,3,1270,1,0,0,4,1960,7
525000,3,2100,2,0,0,3,1979,10
425000,2,770,1,0,0,3,1930,5
369900,1,760,1,1,4,5,1936,5
290000,4,1700,2,0,0,4,1988,7
285000,3,1120,1,0,0,3,1954,7
415000,2,1070,1,0,0,3,1937,7
272500,3,2070,1,0,0,3,1979,8
2900000,4,5050,1.5,0,2,3,1982,11
1365000,4,5310,2,0,0,4,1989,11
436000,2,1040,1,0,0,4,1939,7
210000,3,1700,1,0,0,4,1967,7
236000,3,1300,1,0,0,3,1961,7
331000,3,1080,1,0,0,3,1954,7
365000,3,2653,2,0,0,3,2006,8
450000,3,2290,1,0,0,5,1960,8
770000,4,3820,2,0,0,3,2014,9
455000,4,2210,1,0,0,3,1997,8
405000,3,2390,1,0,0,3,1908,6
304900,4,2600,1,0,0,4,1969,7
170000,2,860,1,0,0,3,1931,6
2050000,5,3830,2,0,1,5,1905,9
780000,4,3500,2,0,0,3,2005,9
330000,3,2420,1,0,0,4,1988,8
370000,4,2720,2,0,0,3,1992,9
467000,5,2500,1,0,0,3,1979,7
405000,3,1670,1,0,0,3,1980,7
675000,5,2900,1,0,0,3,1985,8
500000,2,1640,1,0,0,4,1954,7
389999,4,1890,2,0,0,4,1968,7
630000,4,2950,1,0,2,4,1975,8
360000,4,2160,2,0,0,3,1992,9
580000,4,3280,2,0,0,3,1986,8
550000,3,1970,2,0,3,5,1929,8
879000,4,3360,2,0,0,3,1994,10
265000,3,1320,1,0,0,3,1993,7
446500,3,2650,2,0,0,3,1990,8
404000,3,2030,1,0,0,3,1963,7
267500,3,1590,1,0,2,3,1957,7
3075000,4,4550,1,1,4,3,2002,10
335000,3,2440,2,0,0,3,1998,8
576000,3,1940,1,0,0,4,1948,7
208633,3,2040,2,0,0,3,2006,8
315000,3,2200,1,0,0,4,1964,7
725000,3,1920,1,0,0,4,1913,8
550000,4,1800,1,0,0,4,1965,8
610750,4,2180,2,0,0,3,1984,8
550700,2,1010,1.5,0,0,4,1908,6
665000,4,3320,2,0,0,5,1960,8
834000,4,2370,1.5,0,2,5,1928,8
201000,5,1660,1.5,0,0,3,1915,6
2384000,5,3650,2,0,4,5,1921,10
1384000,4,4290,1,0,3,3,1997,11
1400000,4,4290,1,0,3,3,1997,11
305000,4,1950,1,0,0,3,1979,8
487000,3,2590,1,0,0,5,1948,8
390000,3,1930,1,0,0,4,1988,8
548000,2,1470,1,0,0,4,1916,7
268750,4,800,1,0,0,3,1943,6
819900,5,3150,2,0,0,3,2013,9
520000,3,2030,2,0,0,3,1984,8
230000,3,1450,1,0,0,3,2003,7
240000,3,1510,1,0,0,3,1969,7
232000,2,1240,1,0,0,3,1922,6
240500,2,1240,1,0,0,3,1922,6
274975,3,3030,2,0,0,3,1987,9
740000,4,2050,1.5,0,0,4,1922,9
186375,3,1000,1,0,0,2,1952,7
790000,3,2370,1,0,0,4,1977,9
880000,4,2800,2,0,0,3,1951,9
279000,6,2240,2,0,0,4,1955,7
295000,3,1810,1,0,2,3,1991,8
640000,2,1070,1,0,0,3,1924,7
940000,4,2490,2,0,0,5,1968,9
260000,4,1960,2,0,0,3,2003,7
559900,3,2930,1,0,0,3,2004,9
791500,4,1510,1.5,0,0,5,1911,7
265000,3,1420,1,0,0,3,1954,7
245000,3,1740,1,0,0,3,1954,7
485000,4,2560,2,0,0,4,1962,7
684000,4,3040,2,0,0,3,2010,9
425000,3,2500,1,0,0,3,1957,8
309600,4,1275,1,0,0,4,1991,6
552250,4,2580,2,0,0,3,2002,8
165000,4,1000,1,0,0,3,1943,6
239900,4,1000,1,0,0,3,1943,6
320000,2,1070,1,0,0,4,1930,6
206600,3,1390,1,0,0,4,1987,7
387000,4,2500,1,0,0,3,1973,7
299000,1,560,1,0,0,3,1967,4
855000,4,2270,2,0,0,3,1965,9
315000,3,1900,1,0,0,4,1954,7
437500,2,990,1,0,2,5,1907,7
252000,4,1550,1,0,0,4,1969,7
375000,4,2200,1,0,0,5,1955,7
300000,4,1910,2,0,0,3,2005,7
420000,4,1750,1.5,0,0,4,1954,7
900000,3,1330,1,0,0,3,1928,7
679900,3,2440,2,0,2,3,2000,9
463000,3,1640,2,0,0,3,1992,7
380000,5,2760,2,0,0,4,1978,9
329500,4,1820,2,0,0,3,1994,7
604950,3,2110,1,0,0,3,2013,8
795000,5,3040,1,0,2,4,1966,8
465000,3,1840,2,0,0,3,1994,7
673000,4,2990,2,0,0,3,2002,9
810000,4,3520,2,0,0,3,1991,10
785000,4,2440,1,0,0,4,1989,8
338000,4,2090,1,0,0,3,1986,7
280000,3,1430,2,0,0,3,1993,7
315000,4,2180,1,0,0,5,1954,7
530000,4,2180,1,0,0,5,1954,7
380000,5,3450,2,0,0,3,2004,9
297000,3,1450,2,0,0,3,1994,7
730000,4,3230,2,0,0,3,2004,10
450000,3,1640,1,0,0,3,1940,7
275000,3,1590,1,0,0,3,1997,7
595000,4,2020,2,0,0,3,1960,7
435000,3,1300,1.5,0,0,3,1904,7
270000,2,1380,1,0,0,1,1954,6
950000,3,4040,2,0,0,3,1986,10
389000,4,2130,2,0,0,3,2001,7
560000,4,2550,1,0,0,3,1968,8
1350000,5,4800,2,0,2,3,1998,11
799000,4,2510,2,0,0,4,1969,8
365500,3,1410,1,0,0,4,1983,7
252350,3,1650,1,0,0,3,1979,7
403950,4,2120,2,0,0,3,1993,8
385000,4,2040,1,0,0,3,1954,7
345000,4,1550,1.5,0,0,3,1957,7
490000,3,1980,2,0,0,4,1979,9
330000,3,1600,2,0,0,3,2005,8
927000,4,3300,2,0,0,3,1953,8
1118000,4,3840,2,0,1,4,1983,10
330000,2,1220,1,0,0,5,1950,7
530000,5,2720,1,0,0,4,1958,7
365000,4,1940,1,0,0,1,1962,8
378750,3,2160,1.5,0,0,3,1909,7
269900,4,1530,1.5,0,0,4,1968,7
557000,3,1710,2,0,0,3,2008,8
360000,4,3730,1,0,0,4,1974,7
352000,2,940,1,0,0,4,1937,7
437000,3,1750,2,0,0,3,1994,8
322500,4,1820,2,0,0,3,1994,7
650000,3,1510,2,0,0,3,2001,9
450000,3,1290,3,0,0,3,2001,8
278500,3,1570,1,0,0,3,1998,7
364950,4,1930,2,0,0,3,1995,8
840000,4,2840,1,0,4,4,1986,10
268000,3,1550,2,0,0,3,1991,7
517534,2,833,1,0,0,3,2006,5
632925,3,2990,2,0,0,4,1978,8
577500,3,2000,2,0,0,3,1995,9
339000,4,2390,1.5,0,2,3,1920,7
570000,3,2910,1,0,0,4,1967,7
563500,4,2085,1,0,0,3,1964,7
423000,4,2200,1,0,0,5,1962,7
355000,3,1860,2,0,0,3,2012,8
1550000,5,6070,2,0,0,3,1999,12
482000,2,950,1,0,0,3,1941,7
625000,3,1600,1,0,0,5,1955,7
538000,3,2250,2,0,0,3,1988,8
380000,3,2280,2,0,0,4,1985,8
375000,2,940,1,0,0,3,1909,7
245000,3,1530,1,0,0,5,1996,7
310000,5,2190,1,0,0,4,1947,7
1300000,3,2350,1,0,0,4,1976,8
397000,4,1440,1,0,0,3,1971,7
365000,3,2200,2,0,0,3,2005,8
328500,4,2290,2,0,0,3,1990,9
988000,4,4040,2,0,0,3,1987,11
1000000,4,2610,1.5,0,0,5,1922,8
237000,3,1490,2,0,0,3,2005,7
525000,4,2450,2,0,0,3,2003,8
749000,4,1710,1,0,0,3,1976,9
722500,5,4870,2,0,0,3,1983,10
843000,3,3130,2,0,0,3,1991,10
438000,2,1270,3,0,0,3,2000,8
578000,3,2120,1,0,2,3,1977,8
227950,3,1670,1,0,0,5,1954,7
196000,3,2070,2,0,0,3,1974,7
641000,2,1420,1,0,0,3,1953,8
350000,3,1250,1,0,0,4,1980,6
205000,3,940,1,0,0,4,1960,7
400000,3,1920,1,0,0,3,1968,7
1030000,3,3545,1,0,0,3,2005,10
505000,3,1260,1,0,0,3,1972,7
475000,5,2340,1,0,0,3,1975,7
520000,3,2590,1,0,0,5,1977,8
1450000,3,3970,2,0,2,3,1977,10
333500,3,1220,1,0,0,3,1965,7
232000,3,1400,1,0,0,4,1976,6
691100,3,2360,1,0,0,4,1983,8
811000,3,1870,1,0,0,4,1960,8
551000,3,2830,2,0,0,3,2001,9
496500,3,2260,2,0,0,3,1994,8
705000,3,1970,2,1,3,4,1980,9
578000,4,3140,1,0,2,5,1966,9
255000,3,1240,1,0,0,5,1986,7
1050000,4,3450,2,0,0,3,2007,10
348000,3,2570,2,0,0,4,1989,8
230000,3,1510,2,0,0,3,1985,7
359500,4,2390,2,0,0,3,1988,9
330000,3,980,1,0,0,3,1953,6
80000,1,430,1,0,0,2,1912,4
465000,3,1480,1,0,0,3,1954,7
325000,4,1850,2,0,0,3,1997,8
340500,3,2270,1,0,0,4,1947,7
342500,3,1810,2,0,0,3,1993,8
290900,2,1610,2,0,0,3,1930,6
868700,3,3840,2,0,0,3,2000,10
1199000,4,4110,2,0,1,3,1928,9
1150000,4,4190,2,0,0,3,2000,11
859900,4,3390,2,0,0,3,2011,9
520000,4,1890,2,0,0,3,2003,7
460000,3,1610,2,0,2,3,2005,9
438924,3,1050,1,0,0,3,1949,7
315000,2,630,1,0,0,3,1918,5
590000,4,2910,1,0,2,3,1975,8
378500,4,1700,1,0,0,3,1955,7
328500,3,1950,2,0,0,4,1990,9
849950,3,2990,2,0,0,4,1973,8
525000,3,1350,1,0,2,3,1950,7
1385000,4,4860,2.5,0,0,3,1993,9
295000,4,2160,1,0,0,4,1978,8
1067000,6,4860,2,0,0,3,1998,11
207950,2,890,1,0,0,3,1917,6
699900,4,2810,2,0,0,3,2002,9
1280000,5,3400,2,0,1,4,1977,8
452000,4,1580,1,0,0,4,1963,7
370000,3,1680,1,0,1,4,1987,7
232000,3,1300,1,0,0,5,1968,7
669950,5,2820,2,0,0,4,1960,7
397500,3,1510,1,0,0,3,1972,7
490000,2,1230,2,0,0,3,2004,8
725000,4,2110,2,0,0,3,1925,9
299000,3,3080,1,0,2,4,1958,7
625000,2,1490,1.5,0,0,4,1900,7
437500,3,2120,2,0,0,3,2000,7
650000,4,3180,2,0,0,3,2003,9
475000,2,1490,1,0,0,3,1929,7
342000,3,1930,1,0,0,4,1966,8
1197350,4,2770,2,0,0,3,1999,10
280000,3,1670,1,0,0,4,1963,7
240000,2,1330,1,0,0,3,1993,7
529000,3,1210,1.5,0,0,4,1924,7
442000,3,1190,1,0,0,4,1941,7
615000,2,1540,1,0,0,4,1946,7
1485000,4,4030,2,0,0,3,2006,10
585000,4,2430,1,0,0,4,1981,8
480000,4,2600,2,0,0,3,2005,8
1095000,5,4410,2,0,0,4,1990,9
290000,4,1330,1.5,0,0,3,1949,7
615000,3,1900,1,0,0,5,1951,7
300000,2,1100,1,0,0,4,1950,7
308000,3,1980,1.5,0,0,3,1932,6
750000,3,2400,2,0,0,3,2001,9
2250000,4,4760,2.5,0,0,5,1916,9
890000,4,3180,2,0,0,3,2005,10
288000,3,1190,1,0,0,5,1958,6
190000,2,630,1,0,0,3,1943,6
515000,5,2530,1,0,0,3,2005,8
235000,4,1690,1,0,0,4,1930,5
275000,2,940,1,0,0,3,1951,6
727500,2,1240,1,0,0,4,1952,7
650000,4,3040,2,0,0,3,2003,7
1600000,6,6050,2,0,3,3,2001,11
365000,4,1590,1.5,0,0,3,1944,6
662000,3,2500,1,0,0,3,1984,9
270500,3,1780,1,0,0,3,1978,7
200000,2,1360,2,0,0,3,1978,7
970000,4,4740,2,0,0,3,1987,10
160000,3,1010,1,0,0,4,1962,7
204000,3,1040,1,0,0,4,1971,6
358000,3,1610,2,0,0,4,1985,7
452000,4,1570,1,0,0,3,1979,7
595000,2,1510,1,0,0,4,1900,7
249000,3,1360,1,0,0,3,1994,7
346900,4,1970,2,0,0,3,1999,8
2125000,3,5403,2,1,4,4,1976,12
280000,4,1560,2,0,0,3,2003,7
318888,4,2320,1,0,0,4,1973,8
530000,3,2120,1,0,0,3,1967,8
375000,3,2120,2,0,0,4,1983,8
910000,4,3350,2,0,0,3,1988,11
782000,4,2380,2,0,0,4,1991,10
259950,2,1070,2,0,0,3,2008,9
315000,4,2300,1,0,0,4,1979,7
215000,2,1320,1,0,0,4,1943,6
705000,3,2180,1,0,2,4,1946,7
1450000,3,4380,2,0,3,5,1952,10
451000,3,1790,2,0,0,3,1949,7
261000,2,750,1,0,0,4,1943,6
396000,3,1300,1,0,0,5,1956,7
725000,4,2990,2,0,3,3,1999,9
1950000,7,4640,2,0,1,3,1965,11
238000,4,1400,1.5,0,0,3,1959,7
750000,6,2750,2,0,0,4,1973,8
331500,4,2050,2,0,0,3,1998,7
460000,4,2230,1,0,0,3,1978,7
404950,4,2340,1,0,0,4,1982,8
880000,3,2870,2,0,0,3,2014,9
863000,4,4120,2,0,0,3,1997,10
638700,3,2080,1,0,0,3,1960,7
435000,3,1840,2,0,0,3,2008,7
260000,3,1180,1.5,0,0,4,1959,6
671500,5,2160,1.5,0,0,5,1927,7
610000,3,1180,1.5,0,0,3,1907,8
405000,2,1160,1,0,0,4,1937,6
338900,4,1830,2,0,0,3,2003,7
720000,4,3200,2,0,0,3,2004,10
442000,5,2560,1.5,0,0,4,1927,7
650000,5,2550,1.5,0,0,5,1902,8
263500,3,1330,1,0,0,3,1981,7
300000,2,1220,1,0,0,4,1963,7
266000,3,1805,2,0,0,3,2009,7
930000,4,6050,2.5,0,2,3,2009,9
530000,4,2320,2,0,0,3,2004,8
180000,3,1384,1,0,0,4,1965,6
619000,3,2720,2,0,0,3,2005,9
264000,3,1820,1,0,0,4,1962,7
730000,2,2130,1.5,0,4,4,1941,7
439000,4,2060,2,0,0,3,1975,7
268500,4,1420,1,0,0,4,1981,7
330000,3,1510,1,0,0,3,1985,7
640000,3,2160,1.5,0,0,3,1903,8
900000,3,3180,2,0,0,4,1978,11
370000,3,2110,2,0,0,4,1985,8
685000,3,2060,1.5,0,0,5,1931,8
505000,3,1830,1,0,0,3,1981,7
265000,3,1820,1,0,0,4,1966,7
290000,3,1610,2,0,0,3,2006,8
296000,4,1780,2,0,0,3,2006,7
360000,4,1840,2,0,0,3,1996,7
240500,3,1460,1,0,0,3,1997,7
372500,2,1400,2,0,0,3,2007,8
595000,3,3370,2,0,2,3,2004,9
515000,4,3590,2,0,0,3,1997,9
1220000,4,3200,2,0,0,4,1962,9
507000,2,1670,1,0,0,3,2004,8
399950,4,2420,1,0,0,3,1984,9
185000,3,1430,2,0,0,3,1994,7
460000,3,1440,1,0,0,3,1980,7
435500,3,1450,2,0,0,3,1985,7
469000,4,3550,1,0,0,5,1966,8
531000,2,1270,2,0,0,3,2000,8
443500,2,940,1,0,0,3,1949,7
223000,3,1670,1,0,0,3,1990,7
590000,4,3100,2,0,0,3,1996,8
340000,2,1100,3,0,0,3,1997,7
650000,3,1870,1,0,0,4,1925,8
533600,3,1930,2,0,0,4,1990,8
695000,3,2540,2,0,0,3,2005,9
242000,3,1280,1.5,0,0,4,1988,7
425000,3,1820,1,0,0,3,1967,7
525000,3,1490,2,0,0,3,1981,7
485000,3,1880,2,0,0,3,1988,8
175000,3,1250,1,0,0,3,1971,7
210000,3,1440,1,0,0,3,1983,8
260000,3,1920,2,0,0,3,1989,7
577000,3,2060,1,0,0,3,1976,7
200000,3,1210,1,0,0,4,1958,7
605000,2,1760,1,0,0,4,1927,7
325000,3,990,1,0,0,4,1947,6
289500,3,960,1,0,0,4,1944,6
559950,3,1660,3,0,0,3,2014,9
1042500,3,1900,1,0,1,4,1941,8
543500,3,1270,1,0,0,3,1970,7
480000,4,3250,2,0,0,4,1983,9
218000,3,960,1,0,0,5,1982,6
565000,2,1330,1,0,0,4,1914,7
426700,3,2080,1,0,0,5,1968,7
650000,3,2690,1,0,3,3,1957,8
542000,2,890,1,0,0,3,1910,7
415000,3,1070,1,0,0,3,1977,7
214000,3,1200,1,0,0,4,1953,6
245000,3,1360,2,0,0,5,1949,7
314500,3,2050,1,0,0,3,1993,8
1120000,3,3000,2,0,0,5,1924,9
378000,2,1300,1,0,0,3,1963,7
305000,4,2250,1,0,0,3,1982,7
595000,5,3740,1,0,0,4,1978,8
729500,3,1660,3,0,1,3,2015,9
430000,3,2360,2,0,0,3,2003,7
240000,3,1760,1,0,0,3,1987,7
545000,3,1680,1.5,0,0,3,1916,7
530000,3,1320,1,0,0,3,1918,7
157000,1,870,1,0,0,3,1939,6
425000,4,1260,1.5,0,0,3,1925,6
220000,3,1000,1,0,0,3,1944,6
521000,4,2020,1,0,0,4,1976,8
325000,3,1920,1,0,2,3,1952,7
597500,3,2150,1.5,0,0,4,1911,7
337000,3,1470,2,0,0,3,1999,7
1000000,3,3180,2,0,2,3,1991,10
